"abbreviation"	"machine_readable_name"	"name"	"description"	"group"	"subgroup"	"unit"
"165"	"XL-VLDL-C %"	"XL_VLDL_C_pct"	"XL-VLDL-C %"	"Cholesterol to total lipids ratio in very large VLDL"	"Relative lipoprotein lipid concentrations"	"Very large VLDL ratios"	"%"
"166"	"XL-VLDL-CE %"	"XL_VLDL_CE_pct"	"XL-VLDL-CE %"	"Cholesteryl esters to total lipids ratio in very large VLDL"	"Relative lipoprotein lipid concentrations"	"Very large VLDL ratios"	"%"
"167"	"XL-VLDL-FC %"	"XL_VLDL_FC_pct"	"XL-VLDL-FC %"	"Free cholesterol to total lipids ratio in very large VLDL"	"Relative lipoprotein lipid concentrations"	"Very large VLDL ratios"	"%"
"168"	"XL-VLDL-TG %"	"XL_VLDL_TG_pct"	"XL-VLDL-TG %"	"Triglycerides to total lipids ratio in very large VLDL"	"Relative lipoprotein lipid concentrations"	"Very large VLDL ratios"	"%"
"169"	"L-VLDL-PL %"	"L_VLDL_PL_pct"	"L-VLDL-PL %"	"Phospholipids to total lipids ratio in large VLDL"	"Relative lipoprotein lipid concentrations"	"Large VLDL ratios"	"%"
"170"	"L-VLDL-C %"	"L_VLDL_C_pct"	"L-VLDL-C %"	"Cholesterol to total lipids ratio in large VLDL"	"Relative lipoprotein lipid concentrations"	"Large VLDL ratios"	"%"
"171"	"L-VLDL-CE %"	"L_VLDL_CE_pct"	"L-VLDL-CE %"	"Cholesteryl esters to total lipids ratio in large VLDL"	"Relative lipoprotein lipid concentrations"	"Large VLDL ratios"	"%"
"172"	"L-VLDL-FC %"	"L_VLDL_FC_pct"	"L-VLDL-FC %"	"Free cholesterol to total lipids ratio in large VLDL"	"Relative lipoprotein lipid concentrations"	"Large VLDL ratios"	"%"
"173"	"L-VLDL-TG %"	"L_VLDL_TG_pct"	"L-VLDL-TG %"	"Triglycerides to total lipids ratio in large VLDL"	"Relative lipoprotein lipid concentrations"	"Large VLDL ratios"	"%"
"174"	"M-VLDL-PL %"	"M_VLDL_PL_pct"	"M-VLDL-PL %"	"Phospholipids to total lipids ratio in medium VLDL"	"Relative lipoprotein lipid concentrations"	"Medium VLDL ratios"	"%"
"175"	"M-VLDL-C %"	"M_VLDL_C_pct"	"M-VLDL-C %"	"Cholesterol to total lipids ratio in medium VLDL"	"Relative lipoprotein lipid concentrations"	"Medium VLDL ratios"	"%"
"176"	"M-VLDL-CE %"	"M_VLDL_CE_pct"	"M-VLDL-CE %"	"Cholesteryl esters to total lipids ratio in medium VLDL"	"Relative lipoprotein lipid concentrations"	"Medium VLDL ratios"	"%"
"177"	"M-VLDL-FC %"	"M_VLDL_FC_pct"	"M-VLDL-FC %"	"Free cholesterol to total lipids ratio in medium VLDL"	"Relative lipoprotein lipid concentrations"	"Medium VLDL ratios"	"%"
"178"	"M-VLDL-TG %"	"M_VLDL_TG_pct"	"M-VLDL-TG %"	"Triglycerides to total lipids ratio in medium VLDL"	"Relative lipoprotein lipid concentrations"	"Medium VLDL ratios"	"%"
"179"	"S-VLDL-PL %"	"S_VLDL_PL_pct"	"S-VLDL-PL %"	"Phospholipids to total lipids ratio in small VLDL"	"Relative lipoprotein lipid concentrations"	"Small VLDL ratios"	"%"
"180"	"S-VLDL-C %"	"S_VLDL_C_pct"	"S-VLDL-C %"	"Cholesterol to total lipids ratio in small VLDL"	"Relative lipoprotein lipid concentrations"	"Small VLDL ratios"	"%"
"181"	"S-VLDL-CE %"	"S_VLDL_CE_pct"	"S-VLDL-CE %"	"Cholesteryl esters to total lipids ratio in small VLDL"	"Relative lipoprotein lipid concentrations"	"Small VLDL ratios"	"%"
"182"	"S-VLDL-FC %"	"S_VLDL_FC_pct"	"S-VLDL-FC %"	"Free cholesterol to total lipids ratio in small VLDL"	"Relative lipoprotein lipid concentrations"	"Small VLDL ratios"	"%"
"183"	"S-VLDL-TG %"	"S_VLDL_TG_pct"	"S-VLDL-TG %"	"Triglycerides to total lipids ratio in small VLDL"	"Relative lipoprotein lipid concentrations"	"Small VLDL ratios"	"%"
"184"	"XS-VLDL-PL %"	"XS_VLDL_PL_pct"	"XS-VLDL-PL %"	"Phospholipids to total lipids ratio in very small VLDL"	"Relative lipoprotein lipid concentrations"	"Very small VLDL ratios"	"%"
"185"	"XS-VLDL-C %"	"XS_VLDL_C_pct"	"XS-VLDL-C %"	"Cholesterol to total lipids ratio in very small VLDL"	"Relative lipoprotein lipid concentrations"	"Very small VLDL ratios"	"%"
"186"	"XS-VLDL-CE %"	"XS_VLDL_CE_pct"	"XS-VLDL-CE %"	"Cholesteryl esters to total lipids ratio in very small VLDL"	"Relative lipoprotein lipid concentrations"	"Very small VLDL ratios"	"%"
"187"	"XS-VLDL-FC %"	"XS_VLDL_FC_pct"	"XS-VLDL-FC %"	"Free cholesterol to total lipids ratio in very small VLDL"	"Relative lipoprotein lipid concentrations"	"Very small VLDL ratios"	"%"
"188"	"XS-VLDL-TG %"	"XS_VLDL_TG_pct"	"XS-VLDL-TG %"	"Triglycerides to total lipids ratio in very small VLDL"	"Relative lipoprotein lipid concentrations"	"Very small VLDL ratios"	"%"
"189"	"IDL-PL %"	"IDL_PL_pct"	"IDL-PL %"	"Phospholipids to total lipids ratio in IDL"	"Relative lipoprotein lipid concentrations"	"IDL ratios"	"%"
"190"	"IDL-C %"	"IDL_C_pct"	"IDL-C %"	"Cholesterol to total lipids ratio in IDL"	"Relative lipoprotein lipid concentrations"	"IDL ratios"	"%"
"191"	"IDL-CE %"	"IDL_CE_pct"	"IDL-CE %"	"Cholesteryl esters to total lipids ratio in IDL"	"Relative lipoprotein lipid concentrations"	"IDL ratios"	"%"
"192"	"IDL-FC %"	"IDL_FC_pct"	"IDL-FC %"	"Free cholesterol to total lipids ratio in IDL"	"Relative lipoprotein lipid concentrations"	"IDL ratios"	"%"
"193"	"IDL-TG %"	"IDL_TG_pct"	"IDL-TG %"	"Triglycerides to total lipids ratio in IDL"	"Relative lipoprotein lipid concentrations"	"IDL ratios"	"%"
"194"	"L-LDL-PL %"	"L_LDL_PL_pct"	"L-LDL-PL %"	"Phospholipids to total lipids ratio in large LDL"	"Relative lipoprotein lipid concentrations"	"Large LDL ratios"	"%"
"195"	"L-LDL-C %"	"L_LDL_C_pct"	"L-LDL-C %"	"Cholesterol to total lipids ratio in large LDL"	"Relative lipoprotein lipid concentrations"	"Large LDL ratios"	"%"
"196"	"L-LDL-CE %"	"L_LDL_CE_pct"	"L-LDL-CE %"	"Cholesteryl esters to total lipids ratio in large LDL"	"Relative lipoprotein lipid concentrations"	"Large LDL ratios"	"%"
"197"	"L-LDL-FC %"	"L_LDL_FC_pct"	"L-LDL-FC %"	"Free cholesterol to total lipids ratio in large LDL"	"Relative lipoprotein lipid concentrations"	"Large LDL ratios"	"%"
"198"	"L-LDL-TG %"	"L_LDL_TG_pct"	"L-LDL-TG %"	"Triglycerides to total lipids ratio in large LDL"	"Relative lipoprotein lipid concentrations"	"Large LDL ratios"	"%"
"199"	"M-LDL-PL %"	"M_LDL_PL_pct"	"M-LDL-PL %"	"Phospholipids to total lipids ratio in medium LDL"	"Relative lipoprotein lipid concentrations"	"Medium LDL ratios"	"%"
"200"	"M-LDL-C %"	"M_LDL_C_pct"	"M-LDL-C %"	"Cholesterol to total lipids ratio in medium LDL"	"Relative lipoprotein lipid concentrations"	"Medium LDL ratios"	"%"
"201"	"M-LDL-CE %"	"M_LDL_CE_pct"	"M-LDL-CE %"	"Cholesteryl esters to total lipids ratio in medium LDL"	"Relative lipoprotein lipid concentrations"	"Medium LDL ratios"	"%"
"202"	"M-LDL-FC %"	"M_LDL_FC_pct"	"M-LDL-FC %"	"Free cholesterol to total lipids ratio in medium LDL"	"Relative lipoprotein lipid concentrations"	"Medium LDL ratios"	"%"
"203"	"M-LDL-TG %"	"M_LDL_TG_pct"	"M-LDL-TG %"	"Triglycerides to total lipids ratio in medium LDL"	"Relative lipoprotein lipid concentrations"	"Medium LDL ratios"	"%"
"204"	"S-LDL-PL %"	"S_LDL_PL_pct"	"S-LDL-PL %"	"Phospholipids to total lipids ratio in small LDL"	"Relative lipoprotein lipid concentrations"	"Small LDL ratios"	"%"
"205"	"S-LDL-C %"	"S_LDL_C_pct"	"S-LDL-C %"	"Cholesterol to total lipids ratio in small LDL"	"Relative lipoprotein lipid concentrations"	"Small LDL ratios"	"%"
"206"	"S-LDL-CE %"	"S_LDL_CE_pct"	"S-LDL-CE %"	"Cholesteryl esters to total lipids ratio in small LDL"	"Relative lipoprotein lipid concentrations"	"Small LDL ratios"	"%"
"207"	"S-LDL-FC %"	"S_LDL_FC_pct"	"S-LDL-FC %"	"Free cholesterol to total lipids ratio in small LDL"	"Relative lipoprotein lipid concentrations"	"Small LDL ratios"	"%"
"208"	"S-LDL-TG %"	"S_LDL_TG_pct"	"S-LDL-TG %"	"Triglycerides to total lipids ratio in small LDL"	"Relative lipoprotein lipid concentrations"	"Small LDL ratios"	"%"
"209"	"XL-HDL-PL %"	"XL_HDL_PL_pct"	"XL-HDL-PL %"	"Phospholipids to total lipids ratio in very large HDL"	"Relative lipoprotein lipid concentrations"	"Very large HDL ratios"	"%"
"210"	"XL-HDL-C %"	"XL_HDL_C_pct"	"XL-HDL-C %"	"Cholesterol to total lipids ratio in very large HDL"	"Relative lipoprotein lipid concentrations"	"Very large HDL ratios"	"%"
"211"	"XL-HDL-CE %"	"XL_HDL_CE_pct"	"XL-HDL-CE %"	"Cholesteryl esters to total lipids ratio in very large HDL"	"Relative lipoprotein lipid concentrations"	"Very large HDL ratios"	"%"
"212"	"XL-HDL-FC %"	"XL_HDL_FC_pct"	"XL-HDL-FC %"	"Free cholesterol to total lipids ratio in very large HDL"	"Relative lipoprotein lipid concentrations"	"Very large HDL ratios"	"%"
"213"	"XL-HDL-TG %"	"XL_HDL_TG_pct"	"XL-HDL-TG %"	"Triglycerides to total lipids ratio in very large HDL"	"Relative lipoprotein lipid concentrations"	"Very large HDL ratios"	"%"
"214"	"L-HDL-PL %"	"L_HDL_PL_pct"	"L-HDL-PL %"	"Phospholipids to total lipids ratio in large HDL"	"Relative lipoprotein lipid concentrations"	"Large HDL ratios"	"%"
"215"	"L-HDL-C %"	"L_HDL_C_pct"	"L-HDL-C %"	"Cholesterol to total lipids ratio in large HDL"	"Relative lipoprotein lipid concentrations"	"Large HDL ratios"	"%"
"216"	"L-HDL-CE %"	"L_HDL_CE_pct"	"L-HDL-CE %"	"Cholesteryl esters to total lipids ratio in large HDL"	"Relative lipoprotein lipid concentrations"	"Large HDL ratios"	"%"
"217"	"L-HDL-FC %"	"L_HDL_FC_pct"	"L-HDL-FC %"	"Free cholesterol to total lipids ratio in large HDL"	"Relative lipoprotein lipid concentrations"	"Large HDL ratios"	"%"
"218"	"L-HDL-TG %"	"L_HDL_TG_pct"	"L-HDL-TG %"	"Triglycerides to total lipids ratio in large HDL"	"Relative lipoprotein lipid concentrations"	"Large HDL ratios"	"%"
"219"	"M-HDL-PL %"	"M_HDL_PL_pct"	"M-HDL-PL %"	"Phospholipids to total lipids ratio in medium HDL"	"Relative lipoprotein lipid concentrations"	"Medium HDL ratios"	"%"
"220"	"M-HDL-C %"	"M_HDL_C_pct"	"M-HDL-C %"	"Cholesterol to total lipids ratio in medium HDL"	"Relative lipoprotein lipid concentrations"	"Medium HDL ratios"	"%"
"221"	"M-HDL-CE %"	"M_HDL_CE_pct"	"M-HDL-CE %"	"Cholesteryl esters to total lipids ratio in medium HDL"	"Relative lipoprotein lipid concentrations"	"Medium HDL ratios"	"%"
"222"	"M-HDL-FC %"	"M_HDL_FC_pct"	"M-HDL-FC %"	"Free cholesterol to total lipids ratio in medium HDL"	"Relative lipoprotein lipid concentrations"	"Medium HDL ratios"	"%"
"223"	"M-HDL-TG %"	"M_HDL_TG_pct"	"M-HDL-TG %"	"Triglycerides to total lipids ratio in medium HDL"	"Relative lipoprotein lipid concentrations"	"Medium HDL ratios"	"%"
"224"	"S-HDL-PL %"	"S_HDL_PL_pct"	"S-HDL-PL %"	"Phospholipids to total lipids ratio in small HDL"	"Relative lipoprotein lipid concentrations"	"Small HDL ratios"	"%"
"225"	"S-HDL-C %"	"S_HDL_C_pct"	"S-HDL-C %"	"Cholesterol to total lipids ratio in small HDL"	"Relative lipoprotein lipid concentrations"	"Small HDL ratios"	"%"
"226"	"S-HDL-CE %"	"S_HDL_CE_pct"	"S-HDL-CE %"	"Cholesteryl esters to total lipids ratio in small HDL"	"Relative lipoprotein lipid concentrations"	"Small HDL ratios"	"%"
"227"	"S-HDL-FC %"	"S_HDL_FC_pct"	"S-HDL-FC %"	"Free cholesterol to total lipids ratio in small HDL"	"Relative lipoprotein lipid concentrations"	"Small HDL ratios"	"%"
"228"	"S-HDL-TG %"	"S_HDL_TG_pct"	"S-HDL-TG %"	"Triglycerides to total lipids ratio in small HDL"	"Relative lipoprotein lipid concentrations"	"Small HDL ratios"	"%"
